2026-07-27 18:52:53,781 INFO pubmed_ingestion: Connecting to database...
2026-07-27 18:52:53,788 INFO pubmed_ingestion: Loading embedding model: all-MiniLM-L6-v2
2026-07-27 18:52:54,009 INFO pubmed_ingestion: Records in DB before ingestion: 1665261
2026-07-27 18:53:00,840 INFO pubmed.ingestion.pipeline: Baseline: 1334 files to process
2026-07-27 18:53:00,841 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0001.xml.gz
2026-07-27 18:53:00,842 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0002.xml.gz
2026-07-27 18:53:00,842 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0003.xml.gz
2026-07-27 18:53:00,842 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0004.xml.gz
2026-07-27 18:53:00,843 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0005.xml.gz
2026-07-27 18:53:00,843 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0006.xml.gz
2026-07-27 18:53:00,843 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0007.xml.gz
2026-07-27 18:53:00,844 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0008.xml.gz
2026-07-27 18:53:00,844 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0009.xml.gz
2026-07-27 18:53:00,844 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0010.xml.gz
2026-07-27 18:53:00,845 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0011.xml.gz
2026-07-27 18:53:00,845 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0012.xml.gz
2026-07-27 18:53:00,845 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0013.xml.gz
2026-07-27 18:53:00,846 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0014.xml.gz
2026-07-27 18:53:00,846 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0015.xml.gz
2026-07-27 18:53:00,847 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0016.xml.gz
2026-07-27 18:53:00,847 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0017.xml.gz
2026-07-27 18:53:00,847 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0018.xml.gz
2026-07-27 18:53:00,848 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0019.xml.gz
2026-07-27 18:53:00,848 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0020.xml.gz
2026-07-27 18:53:00,848 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0021.xml.gz
2026-07-27 18:53:00,849 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0022.xml.gz
2026-07-27 18:53:00,849 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0023.xml.gz
2026-07-27 18:53:00,849 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0024.xml.gz
2026-07-27 18:53:00,850 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0025.xml.gz
2026-07-27 18:53:00,850 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0026.xml.gz
2026-07-27 18:53:00,850 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0027.xml.gz
2026-07-27 18:53:00,851 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0028.xml.gz
2026-07-27 18:53:00,851 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0029.xml.gz
2026-07-27 18:53:00,851 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0030.xml.gz
